"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"54","Automobile loans","","p9auto","204,724","","p9auto","197,998","","p9auto","186,584","","p9auto","211,449",
"55","Other consumer loans","","p9conoth","3,616,361","","p9conoth","4,598,779","","p9conoth","4,569,807","","p9conoth","4,930,127",
"56","Loans to foreign governments and official institutions","","p9fg","0","","p9fg","0","","p9fg","0","","p9fg","0",
"57","Other loans","","p9othln","158,239","","p9othln","143,099","","p9othln","139,620","","p9othln","145,977",
"58","Lease financing receivables","","p9ls","38,797","","p9ls","37,606","","p9ls","37,435","","p9ls","69,395",
"59","Debt securities and other assets","","p9scdebt","848,779","","p9scdebt","857,166","","p9scdebt","780,277","","p9scdebt","768,620",
" ","Memoranda (included above): "
"60","Loans to finance agricultural prod and other loans to farmers (small)","","p9agsm","25,946","","p9agsm","30,360","","p9agsm","42,881","","p9agsm","37,479",
"61","Loans held for sale","","p9lnsale","1,140,977","","p9lnsale","2,969,934","","p9lnsale","3,121,548","","p9lnsale","3,358,400",
"62","Loans and leases, wholly or partially guaranteed by the U.S. Government","","p9gtypar","72,111,276","","p9gtypar","75,450,887","","p9gtypar","74,622,984","","p9gtypar","73,568,178",
"63","Loans and leases covered by FDIC loss-sharing agreements","","p9ltot","9,513,710","","p9ltot","10,207,279","","p9ltot","10,209,945","","p9ltot","11,131,455",
"64","Assets in nonaccrual status","","naasset","154,557,954","","naasset","164,358,362","","naasset","166,748,167","","naasset","175,115,622",
"65","Loans secured by real estate, total","","nare","135,475,057","","nare","144,164,757","","nare","145,131,961","","nare","152,989,806",
"66","To non-U.S. addressees","","narenus","1,035,119","","narenus","1,029,057","","narenus","1,055,596","","narenus","1,242,869",
"67","Real estate loans in domestic offices","","idnaredm","134,487,511","","idnaredm","142,878,198","","idnaredm","143,840,426","","idnaredm","151,477,407",
"68","Construction and land development","","narecons","13,770,798","","narecons","16,887,767","","narecons","19,743,047","","narecons","23,599,192",
"69","1-4 family residential construction	","","narecnfm","2,545,501","","narecnfm","3,231,010","","narecnfm","3,653,557","","narecnfm","4,231,781",
"70","Other construction, all land development and other land","","narecnot","11,225,297","","narecnot","13,656,757","","narecnot","16,089,490","","narecnot","19,367,411",
"71","Secured by farmland","","nareag","1,348,769","","nareag","1,435,586","","nareag","1,498,363","","nareag","1,533,674",
"72","Secured by 1-4 family residential properties","","nareres","90,798,064","","nareres","92,634,213","","nareres","88,391,202","","nareres","88,607,143",
"73","Secured by multifamily residential properties","","naremult","2,972,095","","naremult","3,487,088","","naremult","3,790,416","","naremult","4,337,970",
"74","Secured by nonfarm nonresidential properties","","narenres","25,597,785","","narenres","28,433,544","","narenres","30,417,398","","narenres","33,399,428",
"75","Owner-occupied non-farm non-residential","","narenrow","11,713,881","","narenrow","12,718,963","","narenrow","13,290,940","","narenrow","14,462,930",
"76","Other  non-farm non-residential","","narenrot","13,883,904","","narenrot","15,714,581","","narenrot","17,126,458","","narenrot","18,936,498",
"77","Real estate loans in foreign offices","","narefor","987,546","","narefor","1,286,559","","narefor","1,291,535","","narefor","1,512,399",
"78","Loans to depository institutions","","nadep","21,130","","nadep","18,370","","nadep","23,577","","nadep","23,443",
"79","To foreign banks","","nadepnus","15,370","","nadepnus","13,996","","nadepnus","13,893","","nadepnus","13,893",
"80","Loans to finance agricultural production and other loans to farmers","","naag","426,877","","naag","475,516","","naag","471,841","","naag","515,373",
"81","Commercial and industrial loans","","naci","11,434,535","","naci","12,490,591","","naci","13,723,708","","naci","14,090,411",
"82","To non-U.S. addressees","","nacinus","1,219,223","","nacinus","1,150,716","","nacinus","1,592,745","","nacinus","1,505,918",
"83","Loans to individuals","","nacon","3,903,571","","nacon","3,691,019","","nacon","3,290,229","","nacon","3,363,339",
"84","Credit cards","","nacrcd","2,010,143","","nacrcd","1,817,076","","nacrcd","1,751,143","","nacrcd","1,625,302",
"85","Automobile loans","","naauto","876,225","","naauto","833,346","","naauto","520,305","","naauto","451,878",
"86","Other consumer loans","","naconoth","1,017,203","","naconoth","1,040,597","","naconoth","1,018,781","","naconoth","1,286,159",
"87","Loans to foreign governments and official institutions","","nafg","0","","nafg","0","","nafg","0","","nafg","0",
"88","Other loans","","naothln","1,599,744","","naothln","1,781,491","","naothln","2,082,811","","naothln","2,206,704",
"89","Lease financing receivables","","nals","348,971","","nals","333,639","","nals","352,001","","nals","352,673",
"90","Debt securities and other assets","","nascdebt","1,348,069","","nascdebt","1,402,979","","nascdebt","1,672,039","","nascdebt","1,573,873",
" ","Memoranda (included above): "
"91","Loans to finance agricultural prod and other loans (small)","","naagsm","149,282","","naagsm","179,192","","naagsm","171,443","","naagsm","176,000",
"92","Loans held for sale","","nalnsale","1,905,716","","nalnsale","2,393,424","","nalnsale","2,491,820","","nalnsale","3,384,804",
"93","Loans and leases, wholly or partially guaranteed by the U.S. Government","","nagtypar","18,147,516","","nagtypar","18,556,422","","nagtypar","18,432,035","","nagtypar","16,911,439",
"94","Loans and leases covered by FDIC loss-sharing agreements","","naltot","2,589,290","","naltot","2,853,281","","naltot","3,536,143","","naltot","4,137,620",
"* Note: Prior to March 2001, information on Assets past due 30-89 days for individual institutions was confidential and therefore not available."

"Key for Column Selections"

"Column 1 Selections"
"Standard Peer Group: All Institutions - National"
"as of 12/31/2012"

"Column 2 Selections"
"Standard Peer Group: All Institutions - National"
"as of 9/30/2012"

"Column 3 Selections"
"Standard Peer Group: All Institutions - National"
"as of 6/30/2012"

"Column 4 Selections"
"Standard Peer Group: All Institutions - National"
"as of 3/31/2012"

