"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"53","Credit cards","","p9crcd","6,357,237","","p9crcd","4,343,478","","p9crcd","4,297,897","","p9crcd","4,734,971",
"54","Automobile loans","","p9auto","N/A","","p9auto","N/A","","p9auto","N/A","","p9auto","N/A",
"55","Other consumer loans","","p9conoth","2,293,442","","p9conoth","2,262,440","","p9conoth","2,259,372","","p9conoth","2,254,195",
"56","Loans to foreign governments and official institutions","","p9fg","0","","p9fg","11,520","","p9fg","4,751","","p9fg","8,912",
"57","Other loans","","p9othln","115,135","","p9othln","192,630","","p9othln","305,061","","p9othln","206,185",
"58","Lease financing receivables","","p9ls","97,667","","p9ls","107,972","","p9ls","138,442","","p9ls","156,956",
"59","Debt securities and other assets","","p9scdebt","501,316","","p9scdebt","439,792","","p9scdebt","492,549","","p9scdebt","536,517",
" ","Memoranda (included above): "
"60","Loans to finance agricultural prod and other loans to farmers (small)","","p9agsm","55,103","","p9agsm","110,309","","p9agsm","130,626","","p9agsm","115,349",
"61","Loans held for sale","","p9lnsale","728,446","","p9lnsale","888,343","","p9lnsale","614,890","","p9lnsale","602,338",
"62","Loans and leases, wholly or partially guaranteed by the U.S. Government","","p9gtypar","N/A","","p9gtypar","N/A","","p9gtypar","N/A","","p9gtypar","N/A",
"63","Loans and leases covered by FDIC loss-sharing agreements","","p9ltot","N/A","","p9ltot","N/A","","p9ltot","N/A","","p9ltot","N/A",
"64","Assets in nonaccrual status","","naasset","44,762,134","","naasset","49,018,243","","naasset","51,859,073","","naasset","53,644,375",
"65","Loans secured by real estate, total","","nare","19,039,443","","nare","19,632,262","","nare","19,936,306","","nare","20,212,279",
"66","To non-U.S. addressees","","narenus","655,976","","narenus","681,822","","narenus","808,302","","narenus","867,326",
"67","Real estate loans in domestic offices","","idnaredm","18,181,667","","idnaredm","18,751,217","","idnaredm","19,001,200","","idnaredm","19,303,852",
"68","Construction and land development","","narecons","1,723,148","","narecons","1,977,736","","narecons","2,059,027","","narecons","2,231,471",
"69","1-4 family residential construction	","","narecnfm","N/A","","narecnfm","N/A","","narecnfm","N/A","","narecnfm","N/A",
"70","Other construction, all land development and other land","","narecnot","N/A","","narecnot","N/A","","narecnot","N/A","","narecnot","N/A",
"71","Secured by farmland","","nareag","454,185","","nareag","488,820","","nareag","485,435","","nareag","483,155",
"72","Secured by 1-4 family residential properties","","nareres","10,152,092","","nareres","10,155,830","","nareres","10,141,053","","nareres","10,298,816",
"73","Secured by multifamily residential properties","","naremult","358,288","","naremult","383,098","","naremult","403,451","","naremult","383,677",
"74","Secured by nonfarm nonresidential properties","","narenres","5,493,954","","narenres","5,745,733","","narenres","5,912,234","","narenres","5,906,733",
"75","Owner-occupied non-farm non-residential","","narenrow","N/A","","narenrow","N/A","","narenrow","N/A","","narenrow","N/A",
"76","Other  non-farm non-residential","","narenrot","N/A","","narenrot","N/A","","narenrot","N/A","","narenrot","N/A",
"77","Real estate loans in foreign offices","","narefor","857,776","","narefor","881,045","","narefor","935,106","","narefor","908,427",
"78","Loans to depository institutions","","nadep","221,244","","nadep","202,571","","nadep","275,061","","nadep","205,855",
"79","To foreign banks","","nadepnus","220,531","","nadepnus","201,385","","nadepnus","272,698","","nadepnus","203,323",
"80","Loans to finance agricultural production and other loans to farmers","","naag","178,169","","naag","200,776","","naag","202,354","","naag","211,536",
"81","Commercial and industrial loans","","naci","17,650,585","","naci","21,785,969","","naci","23,387,608","","naci","24,715,037",
"82","To non-U.S. addressees","","nacinus","4,307,114","","nacinus","5,151,662","","nacinus","5,448,811","","nacinus","6,218,070",
"83","Loans to individuals","","nacon","3,760,875","","nacon","3,349,996","","nacon","3,393,291","","nacon","3,170,030",
"84","Credit cards","","nacrcd","1,080,035","","nacrcd","801,542","","nacrcd","857,586","","nacrcd","758,483",
"85","Automobile loans","","naauto","N/A","","naauto","N/A","","naauto","N/A","","naauto","N/A",
"86","Other consumer loans","","naconoth","2,680,840","","naconoth","2,548,454","","naconoth","2,535,705","","naconoth","2,411,547",
"87","Loans to foreign governments and official institutions","","nafg","462,123","","nafg","464,453","","nafg","675,356","","nafg","668,317",
"88","Other loans","","naothln","1,049,273","","naothln","964,574","","naothln","1,379,793","","naothln","1,637,053",
"89","Lease financing receivables","","nals","1,251,242","","nals","1,413,181","","nals","1,608,376","","nals","1,747,261",
"90","Debt securities and other assets","","nascdebt","1,149,180","","nascdebt","1,004,461","","nascdebt","1,000,928","","nascdebt","1,077,007",
" ","Memoranda (included above): "
"91","Loans to finance agricultural prod and other loans (small)","","naagsm","311,662","","naagsm","369,235","","naagsm","376,427","","naagsm","356,973",
"92","Loans held for sale","","nalnsale","910,939","","nalnsale","675,938","","nalnsale","614,913","","nalnsale","748,225",
"93","Loans and leases, wholly or partially guaranteed by the U.S. Government","","nagtypar","N/A","","nagtypar","N/A","","nagtypar","N/A","","nagtypar","N/A",
"94","Loans and leases covered by FDIC loss-sharing agreements","","naltot","N/A","","naltot","N/A","","naltot","N/A","","naltot","N/A",
"* Note: Prior to March 2001, information on Assets past due 30-89 days for individual institutions was confidential and therefore not available."

"Key for Column Selections"

"Column 1 Selections"
"Standard Peer Group: All Institutions - National"
"as of 12/31/2003"

"Column 2 Selections"
"Standard Peer Group: All Institutions - National"
"as of 9/30/2003"

"Column 3 Selections"
"Standard Peer Group: All Institutions - National"
"as of 6/30/2003"

"Column 4 Selections"
"Standard Peer Group: All Institutions - National"
"as of 3/31/2003"

