FDIC - Statistics on Depository Institutions Report,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,All Institutions - National,,,All Institutions - National,,,All Institutions - National,,,All Institutions - National
50,Commercial and industrial loans,,p9ci,"1,980,557",,p9ci,"2,128,997",,p9ci,"2,151,871",,p9ci,"2,295,284"
51,To non-U.S. addressees,,p9cinus,"25,984",,p9cinus,"22,181",,p9cinus,"29,010",,p9cinus,"70,422"
52,Loans to individuals,,p9con,"15,178,725",,p9con,"14,563,073",,p9con,"14,703,959",,p9con,"16,739,130"
53,Credit cards,,p9crcd,"9,834,624",,p9crcd,"9,659,897",,p9crcd,"9,992,595",,p9crcd,"11,680,726"
54,Automobile loans,,p9auto,"262,626",,p9auto,"272,610",,p9auto,"273,585",,p9auto,"265,123"
55,Other consumer loans,,p9conoth,"5,081,475",,p9conoth,"4,630,566",,p9conoth,"4,437,779",,p9conoth,"4,793,281"
56,Loans to foreign governments and official institutions,,p9fg,0,,p9fg,0,,p9fg,0,,p9fg,0
57,Other loans,,p9othln,"166,348",,p9othln,"217,273",,p9othln,"132,231",,p9othln,"443,564"
58,Lease financing receivables,,p9ls,"47,179",,p9ls,"77,219",,p9ls,"69,746",,p9ls,"94,612"
59,Debt securities and other assets,,p9scdebt,"739,374",,p9scdebt,"687,692",,p9scdebt,"733,081",,p9scdebt,"668,514"
 ,Memoranda (included above): ,,,,,,,,,,,,
60,Loans to finance agricultural prod and other loans to farmers (small),,p9agsm,"28,271",,p9agsm,"39,719",,p9agsm,"46,192",,p9agsm,"41,208"
61,Loans held for sale,,p9lnsale,"3,551,490",,p9lnsale,"2,369,706",,p9lnsale,"1,434,451",,p9lnsale,"1,438,385"
62,"Loans and leases, wholly or partially guaranteed by the U.S. Government",,p9gtypar,"71,540,698",,p9gtypar,"62,405,956",,p9gtypar,"55,174,582",,p9gtypar,"53,860,427"
63,Loans and leases covered by FDIC loss-sharing agreements,,p9ltot,"10,222,886",,p9ltot,"10,557,769",,p9ltot,"10,515,134",,p9ltot,"10,418,416"
64,Assets in nonaccrual status,,naasset,"181,596,409",,naasset,"189,020,470",,naasset,"200,887,392",,naasset,"217,533,072"
65,"Loans secured by real estate, total",,nare,"157,103,604",,nare,"162,394,577",,nare,"172,540,070",,nare,"186,019,500"
66,To non-U.S. addressees,,narenus,"1,220,668",,narenus,"1,310,591",,narenus,"1,535,609",,narenus,"1,622,119"
67,Real estate loans in domestic offices,,idnaredm,"155,623,488",,idnaredm,"160,839,453",,idnaredm,"170,768,658",,idnaredm,"184,223,508"
68,Construction and land development,,narecons,"27,011,466",,narecons,"31,076,541",,narecons,"35,518,425",,narecons,"40,768,859"
69,"1-4 family residential construction	",,narecnfm,"4,867,276",,narecnfm,"5,867,506",,narecnfm,"6,997,414",,narecnfm,"8,190,985"
70,"Other construction, all land development and other land",,narecnot,"20,789,990",,narecnot,"23,607,557",,narecnot,"26,758,614",,narecnot,"30,384,565"
71,Secured by farmland,,nareag,"1,529,120",,nareag,"1,658,047",,nareag,"1,761,760",,nareag,"1,817,012"
72,Secured by 1-4 family residential properties,,nareres,"87,488,076",,nareres,"86,471,205",,nareres,"88,704,693",,nareres,"93,396,239"
73,Secured by multifamily residential properties,,naremult,"4,686,403",,naremult,"5,388,714",,naremult,"6,375,454",,naremult,"6,934,106"
74,Secured by nonfarm nonresidential properties,,narenres,"34,908,423",,narenres,"36,244,946",,narenres,"38,408,326",,narenres,"41,307,292"
75,Owner-occupied non-farm non-residential,,narenrow,"14,481,800",,narenrow,"15,306,718",,narenrow,"15,472,229",,narenrow,"16,012,504"
76,Other  non-farm non-residential,,narenrot,"18,219,898",,narenrot,"18,590,607",,narenrot,"20,508,366",,narenrot,"22,761,733"
77,Real estate loans in foreign offices,,narefor,"1,480,116",,narefor,"1,555,124",,narefor,"1,771,412",,narefor,"1,795,992"
78,Loans to depository institutions,,nadep,"76,132",,nadep,"81,164",,nadep,"87,571",,nadep,"112,624"
79,To foreign banks,,nadepnus,"63,075",,nadepnus,"65,075",,nadepnus,"67,075",,nadepnus,"91,075"
80,Loans to finance agricultural production and other loans to farmers,,naag,"583,724",,naag,"605,194",,naag,"661,680",,naag,"799,734"
81,Commercial and industrial loans,,naci,"15,443,361",,naci,"16,903,008",,naci,"18,201,246",,naci,"20,444,992"
82,To non-U.S. addressees,,nacinus,"1,519,601",,nacinus,"1,449,900",,nacinus,"1,491,586",,nacinus,"2,251,622"
83,Loans to individuals,,nacon,"3,473,209",,nacon,"3,420,813",,nacon,"3,649,934",,nacon,"3,956,107"
84,Credit cards,,nacrcd,"1,721,079",,nacrcd,"1,704,726",,nacrcd,"1,755,575",,nacrcd,"1,889,692"
85,Automobile loans,,naauto,"553,269",,naauto,"558,217",,naauto,"543,889",,naauto,"544,156"
86,Other consumer loans,,naconoth,"1,198,861",,naconoth,"1,157,870",,naconoth,"1,350,470",,naconoth,"1,522,259"
87,Loans to foreign governments and official institutions,,nafg,0,,nafg,"35,658",,nafg,"7,000",,nafg,"37,000"
88,Other loans,,naothln,"3,042,559",,naothln,"3,522,601",,naothln,"3,620,114",,naothln,"3,995,354"
89,Lease financing receivables,,nals,"365,167",,nals,"441,201",,nals,"508,266",,nals,"617,909"
90,Debt securities and other assets,,nascdebt,"1,508,653",,nascdebt,"1,616,254",,nascdebt,"1,613,872",,nascdebt,"1,549,852"
 ,Memoranda (included above): ,,,,,,,,,,,,
91,Loans to finance agricultural prod and other loans (small),,naagsm,"194,571",,naagsm,"219,475",,naagsm,"230,791",,naagsm,"210,631"
92,Loans held for sale,,nalnsale,"4,543,370",,nalnsale,"4,375,465",,nalnsale,"4,334,613",,nalnsale,"5,626,599"
93,"Loans and leases, wholly or partially guaranteed by the U.S. Government",,nagtypar,"16,589,877",,nagtypar,"14,587,287",,nagtypar,"13,789,568",,nagtypar,"14,089,118"
94,Loans and leases covered by FDIC loss-sharing agreements,,naltot,"6,023,522",,naltot,"6,337,324",,naltot,"7,124,208",,naltot,"7,794,547"
"* Note: Prior to March 2001, information on Assets past due 30-89 days for individual institutions was confidential and therefore not available.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Key for Column Selections,,,,,,,,,,,,,
,,,,,,,,,,,,,
Column 1 Selections,,,,,,,,,,,,,
Standard Peer Group: All Institutions - National,,,,,,,,,,,,,
as of 12/31/2011,,,,,,,,,,,,,
,,,,,,,,,,,,,
Column 2 Selections,,,,,,,,,,,,,
Standard Peer Group: All Institutions - National,,,,,,,,,,,,,
as of 9/30/2011,,,,,,,,,,,,,
,,,,,,,,,,,,,
Column 3 Selections,,,,,,,,,,,,,
Standard Peer Group: All Institutions - National,,,,,,,,,,,,,
as of 6/30/2011,,,,,,,,,,,,,
,,,,,,,,,,,,,
Column 4 Selections,,,,,,,,,,,,,
Standard Peer Group: All Institutions - National,,,,,,,,,,,,,
as of 3/31/2011,,,,,,,,,,,,,
