"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"77","Real estate loans in foreign offices","","narefor","977,001","","narefor","814,461","","narefor","737,383","","narefor","726,287",
"78","Loans to depository institutions","","nadep","131,140","","nadep","95,056","","nadep","118,844","","nadep","228,247",
"79","To foreign banks","","nadepnus","118,532","","nadepnus","78,963","","nadepnus","97,888","","nadepnus","70,266",
"80","Loans to finance agricultural production and other loans to farmers","","naag","317,988","","naag","360,529","","naag","358,697","","naag","285,784",
"81","Commercial and industrial loans","","naci","22,863,214","","naci","20,913,880","","naci","19,801,400","","naci","18,069,986",
"82","To non-U.S. addressees","","nacinus","3,241,509","","nacinus","3,360,266","","nacinus","2,559,616","","nacinus","2,408,669",
"83","Loans to individuals","","nacon","2,770,871","","nacon","2,557,049","","nacon","2,458,385","","nacon","2,619,755",
"84","Credit cards","","nacrcd","810,180","","nacrcd","809,928","","nacrcd","854,994","","nacrcd","878,019",
"85","Automobile loans","","naauto","N/A","","naauto","N/A","","naauto","N/A","","naauto","N/A",
"86","Other consumer loans","","naconoth","1,960,691","","naconoth","1,747,121","","naconoth","1,603,391","","naconoth","1,741,736",
"87","Loans to foreign governments and official institutions","","nafg","31,076","","nafg","46,726","","nafg","49,006","","nafg","54,025",
"88","Other loans","","naothln","2,136,353","","naothln","2,343,209","","naothln","1,274,529","","naothln","1,679,842",
"89","Lease financing receivables","","nals","1,540,442","","nals","1,323,663","","nals","1,265,478","","nals","1,030,266",
"90","Debt securities and other assets","","nascdebt","1,413,423","","nascdebt","128,372","","nascdebt","146,890","","nascdebt","173,797",
" ","Memoranda (included above): "
"91","Loans to finance agricultural prod and other loans (small)","","naagsm","238,999","","naagsm","269,265","","naagsm","234,279","","naagsm","240,065",
"92","Loans held for sale","","nalnsale","N/A","","nalnsale","N/A","","nalnsale","N/A","","nalnsale","N/A",
"93","Loans and leases, wholly or partially guaranteed by the U.S. Government","","nagtypar","N/A","","nagtypar","N/A","","nagtypar","N/A","","nagtypar","N/A",
"94","Loans and leases covered by FDIC loss-sharing agreements","","naltot","N/A","","naltot","N/A","","naltot","N/A","","naltot","N/A",
"* Note: Prior to March 2001, information on Assets past due 30-89 days for individual institutions was confidential and therefore not available."

"Key for Column Selections"

"Column 1 Selections"
"Standard Peer Group: All Institutions - National"
"as of 12/31/2001"

"Column 2 Selections"
"Standard Peer Group: All Institutions - National"
"as of 9/30/2001"

"Column 3 Selections"
"Standard Peer Group: All Institutions - National"
"as of 6/30/2001"

"Column 4 Selections"
"Standard Peer Group: All Institutions - National"
"as of 3/31/2001"

