"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"28","Debt securities and other assets","","p3scdebt","45,336","","p3scdebt","36,632","","p3scdebt","33,062","","p3scdebt","31,209",
" ","Memoranda (included above): "
"29","Loans to finance agricultural prod and other loans to farmers (small)","","p3agsm","245,010","","p3agsm","166,400","","p3agsm","245,383","","p3agsm","359,307",
"30","Loans held for sale","","p3lnsale","2,372,046","","p3lnsale","2,978,987","","p3lnsale","2,349,547","","p3lnsale","2,288,527",
"31","Loans and leases, wholly or partially guaranteed by the U.S. Government","","p3gtypar","4,917,072","","p3gtypar","4,627,591","","p3gtypar","3,996,641","","p3gtypar","3,985,307",
"32","Loans and leases covered by FDIC loss-sharing agreements","","p3ltot","N/A","","p3ltot","N/A","","p3ltot","N/A","","p3ltot","N/A",
"33","Assets past due 90 or more days","","p9asset","31,533,207","","p9asset","26,097,998","","p9asset","22,519,906","","p9asset","21,931,627",
"34","Loans secured by real estate, total","","p9re","17,295,146","","p9re","14,197,942","","p9re","11,990,689","","p9re","11,260,539",
"35","To non-U.S. addressees","","p9renus","11,124","","p9renus","8,741","","p9renus","15,116","","p9renus","6,455",
"36","Real estate loans in domestic offices","","idp9redm","17,233,558","","idp9redm","14,154,518","","idp9redm","11,951,348","","idp9redm","11,235,711",
"37","Construction and land development","","p9recons","1,851,813","","p9recons","1,255,715","","p9recons","817,615","","p9recons","705,826",
"38","1-4 family residential construction	","","p9recnfm","960,195","","p9recnfm","530,681","","p9recnfm","382,618","","p9recnfm","324,930",
"39","Other construction, all land development and other land	","","p9recnot","725,710","","p9recnot","617,318","","p9recnot","386,363","","p9recnot","344,511",
"40","Secured by farmland","","p9reag","81,079","","p9reag","109,975","","p9reag","129,579","","p9reag","113,046",
"41","Secured by 1-4 family residential properties","","p9reres","14,279,736","","p9reres","11,796,057","","p9reres","10,258,496","","p9reres","9,677,888",
"42","Secured by multifamily residential properties","","p9remult","117,843","","p9remult","141,083","","p9remult","98,381","","p9remult","99,634",
"43","Secured by nonfarm nonresidential properties","","p9renres","903,087","","p9renres","851,688","","p9renres","647,277","","p9renres","639,317",
"44","Owner-occupied non-farm non-residential","","p9renrow","362,089","","p9renrow","361,900","","p9renrow","302,124","","p9renrow","277,219",
"45","Other non-farm non-residential","","p9renrot","454,407","","p9renrot","394,703","","p9renrot","276,430","","p9renrot","292,021",
"46","Real estate loans in foreign offices","","p9refor","61,588","","p9refor","43,424","","p9refor","39,341","","p9refor","24,828",
"47","Loans to depository institutions","","p9dep","9,026","","p9dep","5,578","","p9dep","165","","p9dep","81",
"48","To foreign banks","","p9depnus","8,093","","p9depnus","3,188","","p9depnus","0","","p9depnus","0",
"49","Loans to finance agricultural production and other loans to farmers","","p9ag","5,986","","p9ag","6,894","","p9ag","16,462","","p9ag","26,006",
"50","Commercial and industrial loans","","p9ci","2,311,923","","p9ci","2,167,104","","p9ci","1,535,143","","p9ci","1,458,242",
"51","To non-U.S. addressees","","p9cinus","71,378","","p9cinus","63,662","","p9cinus","57,350","","p9cinus","55,967",
"52","Loans to individuals","","p9con","11,188,986","","p9con","9,293,583","","p9con","8,630,877","","p9con","8,853,524",
"53","Credit cards","","p9crcd","7,762,877","","p9crcd","6,429,986","","p9crcd","5,929,227","","p9crcd","6,019,878",
"54","Automobile loans","","p9auto","N/A","","p9auto","N/A","","p9auto","N/A","","p9auto","N/A",
"55","Other consumer loans","","p9conoth","3,426,109","","p9conoth","2,863,597","","p9conoth","2,701,650","","p9conoth","2,833,646",
"56","Loans to foreign governments and official institutions","","p9fg","8","","p9fg","0","","p9fg","0","","p9fg","250",
"57","Other loans","","p9othln","505,338","","p9othln","186,976","","p9othln","187,680","","p9othln","169,639",
"58","Lease financing receivables","","p9ls","198,462","","p9ls","222,476","","p9ls","146,390","","p9ls","149,895",
"59","Debt securities and other assets","","p9scdebt","18,332","","p9scdebt","17,445","","p9scdebt","12,500","","p9scdebt","13,451",
" ","Memoranda (included above): "
"60","Loans to finance agricultural prod and other loans to farmers (small)","","p9agsm","55,144","","p9agsm","64,569","","p9agsm","76,921","","p9agsm","79,886",
"61","Loans held for sale","","p9lnsale","709,584","","p9lnsale","695,901","","p9lnsale","554,892","","p9lnsale","644,279",
"62","Loans and leases, wholly or partially guaranteed by the U.S. Government","","p9gtypar","11,771,188","","p9gtypar","10,459,155","","p9gtypar","9,332,903","","p9gtypar","9,264,401",
"63","Loans and leases covered by FDIC loss-sharing agreements","","p9ltot","N/A","","p9ltot","N/A","","p9ltot","N/A","","p9ltot","N/A",
"64","Assets in nonaccrual status","","naasset","80,776,668","","naasset","57,347,751","","naasset","45,644,272","","naasset","39,635,970",
"65","Loans secured by real estate, total","","nare","66,437,203","","nare","45,566,315","","nare","35,645,803","","nare","29,984,378",
"66","To non-U.S. addressees","","narenus","720,356","","narenus","641,966","","narenus","725,821","","narenus","732,409",
"67","Real estate loans in domestic offices","","idnaredm","65,680,637","","idnaredm","44,855,648","","idnaredm","34,845,308","","idnaredm","29,176,170",
"68","Construction and land development","","narecons","18,940,599","","narecons","10,231,639","","narecons","7,205,160","","narecons","5,117,911",
"69","1-4 family residential construction	","","narecnfm","8,240,964","","narecnfm","4,096,323","","narecnfm","2,799,339","","narecnfm","2,236,224",
"70","Other construction, all land development and other land","","narecnot","8,188,612","","narecnot","4,693,576","","narecnot","3,463,670","","narecnot","2,230,053",
"71","Secured by farmland","","nareag","320,761","","nareag","309,241","","nareag","317,428","","nareag","295,751",
"72","Secured by 1-4 family residential properties","","nareres","37,503,327","","nareres","26,929,632","","nareres","20,313,322","","nareres","17,314,234",
"73","Secured by multifamily residential properties","","naremult","1,426,694","","naremult","1,178,351","","naremult","1,249,313","","naremult","1,156,126",
"74","Secured by nonfarm nonresidential properties","","narenres","7,489,256","","narenres","6,206,785","","narenres","5,760,085","","narenres","5,292,148",
"75","Owner-occupied non-farm non-residential","","narenrow","3,457,106","","narenrow","2,797,442","","narenrow","2,573,307","","narenrow","2,326,094",
"76","Other  non-farm non-residential","","narenrot","3,350,140","","narenrot","2,789,071","","narenrot","2,610,084","","narenrot","2,422,928",
"77","Real estate loans in foreign offices","","narefor","756,566","","narefor","710,667","","narefor","800,495","","narefor","808,208",
"78","Loans to depository institutions","","nadep","9,298","","nadep","9,297","","nadep","20,625","","nadep","22,808",
"79","To foreign banks","","nadepnus","7,000","","nadepnus","8,393","","nadepnus","20,131","","nadepnus","22,393",
"80","Loans to finance agricultural production and other loans to farmers","","naag","99,649","","naag","109,924","","naag","149,081","","naag","89,888",
"81","Commercial and industrial loans","","naci","7,377,293","","naci","6,595,348","","naci","6,577,217","","naci","6,390,720",
"82","To non-U.S. addressees","","nacinus","703,918","","nacinus","477,909","","nacinus","539,232","","nacinus","553,463",
"83","Loans to individuals","","nacon","3,937,924","","nacon","2,701,776","","nacon","2,277,741","","nacon","2,197,234",
"84","Credit cards","","nacrcd","1,598,148","","nacrcd","997,281","","nacrcd","835,237","","nacrcd","817,285",
"85","Automobile loans","","naauto","N/A","","naauto","N/A","","naauto","N/A","","naauto","N/A",
"86","Other consumer loans","","naconoth","2,339,776","","naconoth","1,704,495","","naconoth","1,442,504","","naconoth","1,379,949",
"87","Loans to foreign governments and official institutions","","nafg","0","","nafg","0","","nafg","0","","nafg","0",
"88","Other loans","","naothln","2,314,027","","naothln","1,895,810","","naothln","522,089","","naothln","394,038",
"89","Lease financing receivables","","nals","382,096","","nals","336,854","","nals","314,896","","nals","412,256",
"90","Debt securities and other assets","","nascdebt","219,178","","nascdebt","132,427","","nascdebt","136,820","","nascdebt","144,648",
" ","Memoranda (included above): "
"91","Loans to finance agricultural prod and other loans (small)","","naagsm","144,643","","naagsm","158,164","","naagsm","166,387","","naagsm","147,717",
"92","Loans held for sale","","nalnsale","2,774,705","","nalnsale","2,955,788","","nalnsale","2,579,123","","nalnsale","1,814,924",
"93","Loans and leases, wholly or partially guaranteed by the U.S. Government","","nagtypar","2,337,538","","nagtypar","2,046,441","","nagtypar","1,799,071","","nagtypar","1,836,494",
"94","Loans and leases covered by FDIC loss-sharing agreements","","naltot","N/A","","naltot","N/A","","naltot","N/A","","naltot","N/A",
"* Note: Prior to March 2001, information on Assets past due 30-89 days for individual institutions was confidential and therefore not available."

"Key for Column Selections"

"Column 1 Selections"
"Standard Peer Group: All Institutions - National"
"as of 12/31/2007"

"Column 2 Selections"
"Standard Peer Group: All Institutions - National"
"as of 9/30/2007"

"Column 3 Selections"
"Standard Peer Group: All Institutions - National"
"as of 6/30/2007"

"Column 4 Selections"
"Standard Peer Group: All Institutions - National"
"as of 3/31/2007"

