"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
" ","Memoranda (included above): "
"60","Loans to finance agricultural prod and other loans to farmers (small)","","p9agsm","49,020","","p9agsm","68,522","","p9agsm","88,826","","p9agsm","98,700",
"61","Loans held for sale","","p9lnsale","1,357,859","","p9lnsale","865,577","","p9lnsale","609,378","","p9lnsale","522,365",
"62","Loans and leases, wholly or partially guaranteed by the U.S. Government","","p9gtypar","51,512,529","","p9gtypar","32,698,485","","p9gtypar","26,203,575","","p9gtypar","23,121,566",
"63","Loans and leases covered by FDIC loss-sharing agreements","","p9ltot","N/A","","p9ltot","N/A","","p9ltot","N/A","","p9ltot","N/A",
"64","Assets in nonaccrual status","","naasset","267,420,745","","naasset","259,474,270","","naasset","234,543,750","","naasset","202,511,187",
"65","Loans secured by real estate, total","","nare","215,847,315","","nare","202,994,191","","nare","185,929,453","","nare","161,851,049",
"66","To non-U.S. addressees","","narenus","1,251,883","","narenus","2,691,132","","narenus","2,621,674","","narenus","2,213,661",
"67","Real estate loans in domestic offices","","idnaredm","213,707,171","","idnaredm","200,235,411","","idnaredm","183,166,365","","idnaredm","159,523,518",
"68","Construction and land development","","narecons","64,398,723","","narecons","64,580,453","","narecons","64,802,183","","narecons","55,559,762",
"69","1-4 family residential construction	","","narecnfm","20,797,986","","narecnfm","21,301,928","","narecnfm","21,383,546","","narecnfm","19,913,851",
"70","Other construction, all land development and other land","","narecnot","40,276,379","","narecnot","39,462,034","","narecnot","38,980,277","","narecnot","31,329,057",
"71","Secured by farmland","","nareag","1,388,461","","nareag","1,166,712","","nareag","1,026,689","","nareag","829,995",
"72","Secured by 1-4 family residential properties","","nareres","101,551,214","","nareres","94,672,829","","nareres","83,272,432","","nareres","77,125,708",
"73","Secured by multifamily residential properties","","naremult","8,621,353","","naremult","6,988,222","","naremult","6,032,101","","naremult","4,698,643",
"74","Secured by nonfarm nonresidential properties","","narenres","37,747,420","","narenres","32,827,195","","narenres","28,032,960","","narenres","21,309,410",
"75","Owner-occupied non-farm non-residential","","narenrow","13,539,246","","narenrow","11,928,525","","narenrow","10,930,021","","narenrow","8,846,784",
"76","Other  non-farm non-residential","","narenrot","21,965,272","","narenrot","19,023,357","","narenrot","15,393,811","","narenrot","11,129,581",
"77","Real estate loans in foreign offices","","narefor","2,140,144","","narefor","2,758,780","","narefor","2,763,088","","narefor","2,327,531",
"78","Loans to depository institutions","","nadep","149,322","","nadep","283,802","","nadep","269,452","","nadep","107,694",
"79","To foreign banks","","nadepnus","93,320","","nadepnus","163,338","","nadepnus","170,912","","nadepnus","99,306",
"80","Loans to finance agricultural production and other loans to farmers","","naag","690,814","","naag","433,395","","naag","410,045","","naag","222,510",
"81","Commercial and industrial loans","","naci","37,213,517","","naci","40,778,985","","naci","33,967,664","","naci","27,656,653",
"82","To non-U.S. addressees","","nacinus","8,484,617","","nacinus","10,521,483","","nacinus","9,247,295","","nacinus","7,452,425",
"83","Loans to individuals","","nacon","4,750,782","","nacon","5,547,323","","nacon","5,563,295","","nacon","5,345,776",
"84","Credit cards","","nacrcd","2,143,718","","nacrcd","2,408,676","","nacrcd","2,587,933","","nacrcd","2,597,743",
"85","Automobile loans","","naauto","N/A","","naauto","N/A","","naauto","N/A","","naauto","N/A",
"86","Other consumer loans","","naconoth","2,607,064","","naconoth","3,138,647","","naconoth","2,975,362","","naconoth","2,748,033",
"87","Loans to foreign governments and official institutions","","nafg","9","","nafg","97","","nafg","1,430","","nafg","2,023",
"88","Other loans","","naothln","6,137,984","","naothln","6,609,084","","naothln","5,769,635","","naothln","4,755,769",
"89","Lease financing receivables","","nals","1,328,429","","nals","1,419,705","","nals","1,174,641","","nals","1,035,275",
"90","Debt securities and other assets","","nascdebt","1,302,573","","nascdebt","1,407,688","","nascdebt","1,458,135","","nascdebt","1,534,438",
" ","Memoranda (included above): "
"91","Loans to finance agricultural prod and other loans (small)","","naagsm","280,823","","naagsm","251,751","","naagsm","227,277","","naagsm","234,448",
"92","Loans held for sale","","nalnsale","7,306,986","","nalnsale","7,660,520","","nalnsale","5,775,172","","nalnsale","3,826,204",
"93","Loans and leases, wholly or partially guaranteed by the U.S. Government","","nagtypar","18,349,738","","nagtypar","24,711,665","","nagtypar","18,729,286","","nagtypar","16,601,010",
"94","Loans and leases covered by FDIC loss-sharing agreements","","naltot","N/A","","naltot","N/A","","naltot","N/A","","naltot","N/A",
"* Note: Prior to March 2001, information on Assets past due 30-89 days for individual institutions was confidential and therefore not available."

"Key for Column Selections"

"Column 1 Selections"
"Standard Peer Group: All Institutions - National"
"as of 12/31/2009"

"Column 2 Selections"
"Standard Peer Group: All Institutions - National"
"as of 9/30/2009"

"Column 3 Selections"
"Standard Peer Group: All Institutions - National"
"as of 6/30/2009"

"Column 4 Selections"
"Standard Peer Group: All Institutions - National"
"as of 3/31/2009"

