"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"29","Common stock","","eqcs","33,278,410","","eqcs","32,795,121","","eqcs","32,359,803","","eqcs","31,755,298",
"30","Surplus","","eqsur","657,664,383","","eqsur","637,386,533","","eqsur","631,211,852","","eqsur","621,861,226",
"31","Undivided profits","","equptot","421,979,552","","equptot","419,130,854","","equptot","415,670,760","","equptot","394,421,273",
"32","Noncontrolling interests in consolidated subsidiaries","","eqconsub","N/A","","eqconsub","N/A","","eqconsub","N/A","","eqconsub","N/A",
"     Memoranda:"
"33","Noncurrent loans and leases","","nclnls","50,042,462","","nclnls","48,707,139","","nclnls","45,820,317","","nclnls","46,252,119",
"34","Noncurrent loans that are wholly or partially guaranteed by the U.S. government","","ncgtypar","11,721,842","","ncgtypar","10,628,647","","ncgtypar","7,066,745","","ncgtypar","5,128,930",
"35","Income earned, not collected on loans","","oaienc","55,074,025","","oaienc","52,017,131","","oaienc","48,675,292","","oaienc","47,302,533",
"36","Earning assets","","ernast","9,499,799,979","","ernast","9,353,838,658","","ernast","9,142,317,761","","ernast","8,966,457,545",
"37","Long-term assets (5+ years)","","asstlt","2,080,415,158","","asstlt","2,019,461,331","","asstlt","1,974,971,748","","asstlt","2,008,104,296",
"38","Average Assets, year-to-date","","asset5","10,464,282,935","","asset5","10,389,710,368","","asset5","10,283,327,306","","asset5","10,183,488,142",
"39","Average Assets, quarterly","","asset2","10,774,914,228","","asset2","10,586,863,217","","asset2","10,382,525,375","","asset2","10,183,488,142",
"40","Total risk weighted assets","","rwajt","8,140,640,273","","rwajt","7,946,026,739","","rwajt","7,675,292,825","","rwajt","7,417,124,546",
"41","Adjusted average assets for leverage capital purposes","","avassetj","10,520,788,257","","avassetj","10,326,987,694","","avassetj","10,071,925,351","","avassetj","9,892,791,304",
"42","Life insurance assets","","oalifins","7,274,898","","oalifins","7,045,103","","oalifins","7,020,922","","oalifins","6,871,750",
"43","General account life insurance assets","","oalifgen","N/A","","oalifgen","N/A","","oalifgen","N/A","","oalifgen","N/A",
"44","Separate account life insurance assets","","oalifsep","N/A","","oalifsep","N/A","","oalifsep","N/A","","oalifsep","N/A",
"45","Hybrid life insurance assets","","oalifhyb","N/A","","oalifhyb","N/A","","oalifhyb","N/A","","oalifhyb","N/A",
"46","Volatile liabilities","","voliab","3,871,668,631","","voliab","3,806,384,635","","voliab","3,667,684,367","","voliab","3,545,277,096",
"47","Insider loans","","lnexamt","37,616,628","","lnexamt","36,853,668","","lnexamt","36,103,004","","lnexamt","35,305,899",
"48","FHLB advances","","othbfhlb","598,342,595","","othbfhlb","591,634,989","","othbfhlb","585,376,927","","othbfhlb","546,083,798",
"49","Loans and leases held for sale","","lnlssale","205,122,692","","lnlssale","219,097,152","","lnlssale","186,338,599","","lnlssale","175,515,407",
"50","Unused loan commitments","","ucln","7,121,277,815","","ucln","6,898,317,194","","ucln","6,681,631,126","","ucln","6,484,707,082",
"51","Tier 1 (core) risk-based capital","","rbct1j","864,975,418","","rbct1j","849,186,108","","rbct1j","830,497,776","","rbct1j","806,976,131",
"52","Tier 2 risk-based capital","","rbct2","189,632,484","","rbct2","184,966,529","","rbct2","181,610,344","","rbct2","182,584,724",
"53","Total unused commitments","","uc","7,193,760,196","","uc","6,995,410,785","","uc","6,746,611,204","","uc","6,537,169,172",
"54","Derivatives","","obsdir","101,879,579,889","","obsdir","99,565,086,422","","obsdir","96,923,210,114","","obsdir","91,849,154,970",
" ","Total assets and liabilities in foreign offices","",""," ","",""," ","",""," ","",""," ",
" ","Restructured Loans and leases","",""," ","",""," ","",""," ","",""," ",
" ","Past due and nonaccrual assets","",""," ","",""," ","",""," ","",""," ",
" ","Fiduciary and related services","",""," ","",""," ","",""," ","",""," ",
" ","Carrying amount of assets covered by FDIC loss-share agreements","",""," ","",""," ","",""," ","",""," ",

"Key for Column Selections"

"Column 1 Selections"
"Standard Peer Group: All Institutions - National"
"as of 12/31/2005"

"Column 2 Selections"
"Standard Peer Group: All Institutions - National"
"as of 9/30/2005"

"Column 3 Selections"
"Standard Peer Group: All Institutions - National"
"as of 6/30/2005"

"Column 4 Selections"
"Standard Peer Group: All Institutions - National"
"as of 3/31/2005"

