"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"20","Laons to non-U.S. addressees, in nonaccrual status","","narenus","439,098","","narenus","446,147","","narenus","382,723","","narenus","378,129",
"21","Real estate loans in domestic offices in nonaccrual status","","idnaredm","39,259,644","","idnaredm","40,928,782","","idnaredm","42,558,530","","idnaredm","42,749,165",
"22","Construction and land development in nonaccrual status","","narecons","1,337,243","","narecons","1,449,732","","narecons","1,447,598","","narecons","1,505,939",
"23","Nonaccrual 1-4 family residential construction loans","","narecnfm","278,368","","narecnfm","265,621","","narecnfm","295,448","","narecnfm","297,710",
"24","Nonaccrual other construction, all land development and other land loans","","narecnot","1,058,875","","narecnot","1,184,111","","narecnot","1,152,150","","narecnot","1,208,229",
"25","Loans secured by farmland in nonaccrual status","","nareag","1,524,401","","nareag","1,478,184","","nareag","1,401,526","","nareag","1,334,012",
"26","Secured by 1-4 family residential properties in nonaccrual status","","nareres","28,435,731","","nareres","29,800,639","","nareres","31,363,618","","nareres","31,732,336",
"27","Secured by multifamily residential properties in nonaccrual status","","naremult","509,872","","naremult","514,705","","naremult","540,523","","naremult","513,911",
"28","Loans secured by nonfarm nonresidential properties in nonaccrual status","","narenres","7,452,397","","narenres","7,685,522","","narenres","7,805,265","","narenres","7,662,967",
"29","Loans secured by owner-occupied nonfarm nonresidential properties, in nonaccrual","","narenrow","4,254,283","","narenrow","4,494,762","","narenrow","4,673,383","","narenrow","4,478,210",
"30","Loans secured by other nonfarm nonresidential properties, in nonaccrual status","","narenrot","3,198,114","","narenrot","3,190,760","","narenrot","3,131,882","","narenrot","3,184,757",
"31","Real estate loans in foreign offices in nonaccrual status","","narefor","321,032","","narefor","320,074","","narefor","327,560","","narefor","327,830",
"32","Loans to depository institutions in nonaccrual status","","nadep","5,142","","nadep","5,151","","nadep","528","","nadep","2,151",
"33","Loans to foreign banks in nonaccrual status","","nadepnus","0","","nadepnus","0","","nadepnus","0","","nadepnus","0",
"34","Loans for agriculture and other loans to farmers in nonaccrual status","","naag","174,745","","naag","264,381","","naag","230,771","","naag","217,834",
"35","Commercial and industrial loans in nonaccrual status","","naci","13,953,961","","naci","15,044,376","","naci","16,328,800","","naci","16,923,880",
"36","Loans to non-U.S. addressees in nonaccrual status","","nacinus","1,606,652","","nacinus","2,086,163","","nacinus","2,400,062","","nacinus","3,145,784",
"37","Loans to individuals in nonaccrual status","","nacon","3,400,743","","nacon","3,139,652","","nacon","3,146,639","","nacon","3,231,135",
"38","Credit cards and related plans in nonaccrual status","","nacrcd","1,143,257","","nacrcd","1,073,845","","nacrcd","1,110,705","","nacrcd","1,089,448",
"39","Nonaccrual Auto Loans","","naauto","1,701,630","","naauto","1,509,242","","naauto","1,461,060","","naauto","1,576,340",
"40","Nonaccrual-Other Consumer","","naconoth","555,856","","naconoth","556,565","","naconoth","574,874","","naconoth","565,347",
"41","Loans to foreign governments and official institutions in nonaccrual status","","nafg","14,000","","nafg","11,000","","nafg","12,000","","nafg","11,000",
"42","Other loans in nonaccrual status","","naothln","2,046,398","","naothln","1,817,601","","naothln","1,660,631","","naothln","1,431,559",
"43","Lease financing receivables in nonaccrual status","","nals","470,287","","nals","554,163","","nals","532,688","","nals","474,041",
"44","Debt securities and other assets in nonaccrual status","","nascdebt","333,609","","nascdebt","354,420","","nascdebt","449,803","","nascdebt","455,049",
"45","Loans to finance agriculture and other loans to farmers in nonaccrual status","","naagsm","559,929","","naagsm","546,752","","naagsm","524,456","","naagsm","478,477",
"46","Nonaccrual Loans held for sale in nonaccrual status","","nalnsale","709,046","","nalnsale","1,045,465","","nalnsale","938,796","","nalnsale","1,162,003",
"47","Guaranteed portion of nonaccrual loans and leases, excluding GNMA loans","","nagtypar","4,556,247","","nagtypar","4,583,348","","nagtypar","4,722,699","","nagtypar","4,650,583",
"48","Total Nonaccrual Loans – FDIC Loss Sharing","","naltot","69,857","","naltot","74,002","","naltot","73,006","","naltot","68,096",
"* Note: Prior to March 2001, information on Assets past due 30-89 days for individual institutions was confidential and therefore not available."

"Key for Column Selections:"

"Column 1 Selections"
"Standard Peer Group: All Institutions - National"
"as of 9/30/2018"

"Column 2 Selections"
"Standard Peer Group: All Institutions - National"
"as of 6/30/2018"

"Column 3 Selections"
"Standard Peer Group: All Institutions - National"
"as of 3/31/2018"

"Column 4 Selections"
"Standard Peer Group: All Institutions - National"
"as of 12/31/2017"

