"FDIC - Statistics on Depository Institutions Report"

"","","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National","","","All Institutions - National",
"52","Tier 2 risk-based capital","","rbct2","216,934,281","","rbct2","220,088,005","","rbct2","224,238,604","","rbct2","228,645,656",
"53","Total unused commitments","","uc","5,714,882,263","","uc","5,794,062,111","","uc","5,768,077,344","","uc","5,809,914,904",
"54","Derivatives","","obsdir","232,061,549,184","","obsdir","250,633,629,080","","obsdir","251,628,510,159","","obsdir","246,007,744,862",
" ","Total assets and liabilities in foreign offices","",""," ","",""," ","",""," ","",""," ",
" ","Restructured Loans and leases","",""," ","",""," ","",""," ","",""," ",
" ","Past due and nonaccrual assets","",""," ","",""," ","",""," ","",""," ",
" ","Fiduciary and related services","",""," ","",""," ","",""," ","",""," ",
" ","Carrying amount of assets covered by FDIC loss-share agreements","",""," ","",""," ","",""," ","",""," ",

"Key for Column Selections"

"Column 1 Selections"
"Standard Peer Group: All Institutions - National"
"as of 12/31/2011"

"Column 2 Selections"
"Standard Peer Group: All Institutions - National"
"as of 9/30/2011"

"Column 3 Selections"
"Standard Peer Group: All Institutions - National"
"as of 6/30/2011"

"Column 4 Selections"
"Standard Peer Group: All Institutions - National"
"as of 3/31/2011"

